Date,Open,High,Low,Close,Adj Close,Volume
1989-08-01,262.945007,262.945007,262.945007,262.945007,100.105125,0
1989-08-02,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-03,272.290985,272.290985,272.290985,272.290985,103.663246,0
1989-08-04,272.914001,272.914001,272.914001,272.914001,103.900436,0
1989-08-07,275.407013,275.407013,275.407013,275.407013,104.849533,0
1989-08-08,274.161011,274.161011,274.161011,274.161011,104.375160,0
1989-08-09,271.045990,271.045990,271.045990,271.045990,103.189285,0
1989-08-10,266.683014,266.683014,266.683014,266.683014,101.528252,0
1989-08-11,266.683014,266.683014,266.683014,266.683014,101.528252,0
1989-08-14,261.075012,261.075012,261.075012,261.075012,99.393242,0
1989-08-15,260.451996,260.451996,260.451996,260.451996,99.156044,0
1989-08-16,266.683014,266.683014,266.683014,266.683014,101.528252,0
1989-08-17,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-18,272.914001,272.914001,272.914001,272.914001,103.900436,0
1989-08-21,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-22,270.420990,270.420990,270.420990,270.420990,102.951294,0
1989-08-23,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-24,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-25,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-28,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-08-29,270.420990,270.420990,270.420990,270.420990,102.951294,0
1989-08-30,269.175995,269.175995,269.175995,269.175995,102.477333,0
1989-08-31,271.045990,271.045990,271.045990,271.045990,103.189285,0
1989-09-01,274.783997,274.783997,274.783997,274.783997,104.612312,0
1989-09-04,279.144989,279.144989,279.144989,279.144989,106.272629,0
1989-09-05,279.144989,279.144989,279.144989,279.144989,106.272629,0
1989-09-06,272.914001,272.914001,272.914001,272.914001,103.900436,0
1989-09-07,275.407013,275.407013,275.407013,275.407013,104.849533,0
1989-09-08,275.407013,275.407013,275.407013,275.407013,104.849533,0
1989-09-11,271.667999,271.667999,271.667999,271.667999,103.426064,0
1989-09-12,270.420990,270.420990,270.420990,270.420990,102.951294,0
1989-09-13,270.420990,270.420990,270.420990,270.420990,102.951294,0
1989-09-14,265.437012,265.437012,265.437012,265.437012,101.053879,0
1989-09-15,259.829010,259.829010,259.829010,259.829010,98.918861,0
1989-09-18,262.321991,262.321991,262.321991,262.321991,99.867920,0
1989-09-19,260.451996,260.451996,260.451996,260.451996,99.156044,0
1989-09-20,259.205994,259.205994,259.205994,259.205994,98.681686,0
1989-09-21,256.713989,256.713989,256.713989,256.713989,97.732941,0
1989-09-22,256.713989,256.713989,256.713989,256.713989,97.732941,0
1989-09-25,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-09-26,252.352997,252.352997,252.352997,252.352997,96.072693,0
1989-09-27,252.975998,252.975998,252.975998,252.975998,96.309914,0
1989-09-28,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-09-29,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-10-02,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-10-03,246.744995,246.744995,246.744995,246.744995,93.937683,0
1989-10-04,246.744995,246.744995,246.744995,246.744995,93.937683,0
1989-10-05,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-10-06,236.151001,236.151001,236.151001,236.151001,89.904457,0
1989-10-09,233.035995,233.035995,233.035995,233.035995,88.718544,0
1989-10-10,229.298004,229.298004,229.298004,229.298004,87.295479,0
1989-10-11,230.544006,230.544006,230.544006,230.544006,87.769836,0
1989-10-12,233.035995,233.035995,233.035995,233.035995,88.718544,0
1989-10-13,233.035995,233.035995,233.035995,233.035995,88.718544,0
1989-10-16,229.298004,229.298004,229.298004,229.298004,87.295479,0
1989-10-17,227.429001,227.429001,227.429001,227.429001,86.583939,0
1989-10-18,231.789993,231.789993,231.789993,231.789993,88.244202,0
1989-10-19,240.514008,240.514008,240.514008,240.514008,91.565498,0
1989-10-20,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-10-23,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-10-24,239.891006,239.891006,239.891006,239.891006,91.328316,0
1989-10-25,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-10-26,234.283005,234.283005,234.283005,234.283005,89.193283,0
1989-10-27,221.197998,221.197998,221.197998,221.197998,84.211731,0
1989-10-30,224.313004,224.313004,224.313004,224.313004,85.397659,0
1989-10-31,234.283005,234.283005,234.283005,234.283005,89.193283,0
1989-11-01,235.528000,235.528000,235.528000,235.528000,89.667297,0
1989-11-02,235.528000,235.528000,235.528000,235.528000,89.667297,0
1989-11-03,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-11-06,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-11-07,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-11-08,246.744995,246.744995,246.744995,246.744995,93.937683,0
1989-11-09,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-11-10,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-11-13,244.251999,244.251999,244.251999,244.251999,92.988602,0
1989-11-14,244.251999,244.251999,244.251999,244.251999,92.988602,0
1989-11-15,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-11-16,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-11-17,240.514008,240.514008,240.514008,240.514008,91.565498,0
1989-11-20,234.283005,234.283005,234.283005,234.283005,89.193283,0
